"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2024-1631","Dfinity","cvelistV5/cves/2024/1xxx/CVE-2024-1631.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-6245","Dfinity","cvelistV5/cves/2023/6xxx/CVE-2023-6245.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
